ID;Gender;Status;Children;Age;Customer_Status;Car_Owner;Customer_Service;Satisfaction;Business_Area;Action
30001;Male;S;1;20.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30002;Male;S;2;22.4;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30003;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30004;Male;S;1;17.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30005;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30006;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30007;Female;M;2;17.1;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30008;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30009;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30010;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30011;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30012;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30013;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30014;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30015;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30016;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30017;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30018;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30019;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30020;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30021;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30022;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30023;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30024;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30025;Male;S;1;20.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30026;Male;S;2;22.4;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30027;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30028;Male;S;1;17.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30029;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30030;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30031;Female;M;2;17.1;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30032;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30033;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30034;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30035;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30036;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30037;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30038;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30039;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30040;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30041;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30042;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30043;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30044;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30045;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30046;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30047;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30048;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher